,price,title,location,size,Ogrzewanie,Piętro,Czynsz,Stan wykończenia,Rynek,Forma własności,Dostępne od,Typ ogłoszeniodawcy,Informacje dodatkowe,Unnamed: 13,Budynek i materiały - ,Wyposażenie - ,neighborhood
0,689 890 zł,Mieszkanie na sprzedaż,"ul. Bertolta Brechta, Nowa Praga, Praga-Północ, Warszawa, mazowieckie",35m²,miejskie,parter/4,500 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,piwnica,,,,Północ
1,747 000 zł,Mieszkanie na sprzedaż,"Zacisze, Targówek, Warszawa, mazowieckie",50m²,miejskie,1/3,773 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
taras
garaż/miejsce parkingowe",,,,Targówek
2,514 004 zł,Mieszkanie na sprzedaż,"ul. Kartograficzna, Grodzisk, Białołęka, Warszawa, mazowieckie",34.73m²,gazowe,2/2,brak informacji,brak informacji,pierwotny,pełna własność,brak informacji,biuro nieruchomości,"balkon
garaż/miejsce parkingowe",,,,Białołęka
3,959 000 zł,Mieszkanie na sprzedaż,"ul. Emilii Plater 20, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",53m²,brak informacji,4/4,350 zł,do zamieszkania,wtórny,brak informacji,brak informacji,biuro nieruchomości,"piwnica
oddzielna kuchnia",,,,Śródmieście
4,1 600 000 zł,Mieszkanie na sprzedaż,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",81m²,miejskie,parter/3,1 475 zł,do zamieszkania,wtórny,brak informacji,brak informacji,prywatny,"ogródek
taras
garaż/miejsce parkingowe
piwnica
oddzielna kuchnia",,,,Wilanów
5,527 192 zł,Mieszkanie na sprzedaż,"Grodzisk, Białołęka, Warszawa, mazowieckie",36.91m²,miejskie,1/2,brak informacji,do zamieszkania,pierwotny,pełna własność,brak informacji,biuro nieruchomości,"balkon
taras
garaż/miejsce parkingowe
piwnica
oddzielna kuchnia
pom. użytkowe",,,,Białołęka
6,558 000 zł,Mieszkanie na sprzedaż,"Czechowice, Ursus, Warszawa, mazowieckie",37m²,miejskie,brak informacji,brak informacji,do wykończenia,pierwotny,pełna własność,brak informacji,biuro nieruchomości,"balkon
garaż/miejsce parkingowe
pom. użytkowe",,,,Ursus
7,2 630 000 zł,Mieszkanie na sprzedaż,"ul. Leszczyny, Stegny, Mokotów, Warszawa, mazowieckie",139.03m²,brak informacji,parter/3,brak informacji,do zamieszkania,wtórny,pełna własność,2024-12-11,biuro nieruchomości,"balkon
taras
pom. użytkowe",,,,Mokotów
8,Price not available,Mieszkanie na sprzedaż,"ul. Goleszowska, Odolany, Wola, Warszawa, mazowieckie",37.3m²,brak informacji,2/6,brak informacji,do wykończenia,pierwotny,pełna własność,2026-08-15,deweloper,garaż/miejsce parkingowe,,,,Wola
9,820 000 zł,Mieszkanie na sprzedaż,"Jelonki Północne, Bemowo, Warszawa, mazowieckie",36.3m²,miejskie,6/11,brak informacji,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,"balkon
piwnica
oddzielna kuchnia",,,,Bemowo
10,710 000 zł,Mieszkanie na sprzedaż,"ul. Edwarda Gibalskiego, Młynów, Wola, Warszawa, mazowieckie",44.5m²,miejskie,3/3,550 zł,do zamieszkania,wtórny,pełna własność,2023-09-01,biuro nieruchomości,"balkon
piwnica",,,,Wola
11,1 927 920 zł,Mieszkanie na sprzedaż,"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",80.33m²,miejskie,> 10/24,900 zł,do wykończenia,wtórny,spółdzielcze wł. prawo do lokalu,2022-10-01,biuro nieruchomości,brak informacji,,,,Wola
12,1 896 000 zł,Mieszkanie na sprzedaż,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",92.14m²,miejskie,1/8,0,do wykończenia,pierwotny,pełna własność,2026-01-31,biuro nieruchomości,balkon,,,,Wola
13,2 074 600 zł,Mieszkanie na sprzedaż,"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",90.2m²,miejskie,> 10/24,1 000 zł,do wykończenia,wtórny,spółdzielcze wł. prawo do lokalu,2022-10-01,biuro nieruchomości,brak informacji,,,,Wola
14,886 000 zł,Mieszkanie na sprzedaż,"ul. Powązkowska 68, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",55.4m²,miejskie,4/4,1 200 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe
piwnica",,,,Żoliborz
15,700 000 zł,Mieszkanie na sprzedaż,"ul. Jagiellońska, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",39.8m²,miejskie,3/3,650 zł,do zamieszkania,wtórny,pełna własność,brak informacji,prywatny,balkon,,,,Północ
16,1 235 000 zł,Mieszkanie na sprzedaż,"ul. Antoniego Edwarda Odyńca, Wierzbno, Mokotów, Warszawa, mazowieckie",55m²,miejskie,1/5,830 zł,brak informacji,wtórny,pełna własność,brak informacji,prywatny,piwnica,,,,Mokotów
17,796 000 zł,Mieszkanie na sprzedaż,"ul. Herbu Oksza, Szamoty, Ursus, Warszawa, mazowieckie",48.26m²,miejskie,6/6,brak informacji,do wykończenia,pierwotny,pełna własność,brak informacji,prywatny,"balkon
garaż/miejsce parkingowe
oddzielna kuchnia",,,,Ursus
18,2 016 356 zł,Mieszkanie na sprzedaż,"ul. Gąsocińska, Siekierki, Mokotów, Warszawa, mazowieckie",117.23m²,brak informacji,3/3,brak informacji,do wykończenia,pierwotny,pełna własność,2027-04-01,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
19,1 269 000 zł,Mieszkanie na sprzedaż,"ul. Gratyny, Kępa Zawadowska, Wilanów, Warszawa, mazowieckie",72.53m²,brak informacji,parter,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,ogródek,,,,Wilanów
20,2 430 000 zł,Mieszkanie na sprzedaż,"ul. Białego Dębu, Stegny, Mokotów, Warszawa, mazowieckie",89.6m²,brak informacji,1/2,brak informacji,do wykończenia,pierwotny,pełna własność,2026-05-15,deweloper,"balkon
garaż/miejsce parkingowe",,,,Mokotów
